Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?,year_received,month_received,dayofweek_received,quarter_received,is_weekend,is_holiday_season,processing_days,same_day_processing,company_complaint_count,company_size,state_complaint_count,product_category,region
1291006,Debt Collection,Not Specified,Communication Tactics,Frequent Or Repeated Calls,TX,76119,2015-03-19,2015-03-19,"Premium Asset Services, Llc",In progress,Yes,No,2015,3,3,1,0,0,0,1,41,medium,2380,debt,south
1290580,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,TX,77479,2015-03-19,2015-03-19,Accounts Receivable Consultants Inc.,Closed with explanation,Yes,No,2015,3,3,1,0,0,0,1,1,small,2380,debt,south
1290564,Mortgage,Fha Mortgage,"Application, Originator, Mortgage Broker",Not Specified,MA,2127,2015-03-19,2015-03-19,Rbs Citizens,Closed with explanation,Yes,Yes,2015,3,3,1,0,0,0,1,107,large,512,mortgage,northeast
1291615,Credit Card,Not Specified,Other,Not Specified,CA,92592,2015-03-19,2015-03-19,Navy Fcu,In progress,Yes,No,2015,3,3,1,0,0,0,1,62,large,3859,credit,west
1292165,Debt Collection,Non-Federal Student Loan,Cont'D Attempts Collect Debt Not Owed,Debt Resulted From Identity Theft,Unknown,43068,2015-03-19,2015-03-19,Transworld Systems Inc.,In progress,Yes,No,2015,3,3,1,0,0,0,1,215,enterprise,421,debt,unknown
1291176,Debt Collection,Payday Loan,Communication Tactics,Called After Sent Written Cease Of Comm,OH,43068,2015-03-19,2015-03-19,Ace Cash Express Inc.,In progress,Yes,No,2015,3,3,1,0,0,0,1,53,large,939,debt,midwest
1288848,Consumer Loan,Installment Loan,Managing The Loan Or Lease,Not Specified,OH,44241,2015-03-18,2015-03-18,"Cashcall, Inc.",Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,69,large,939,loan,midwest
1288788,Debt Collection,Payday Loan,Communication Tactics,Called After Sent Written Cease Of Comm,CA,95124,2015-03-18,2015-03-18,Ace Cash Express Inc.,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,53,large,3859,debt,west
1288324,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,NJ,7067,2015-03-18,2015-03-18,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,No,2015,3,2,1,0,0,0,1,50,medium,1113,debt,northeast
1288304,Debt Collection,Payday Loan,Taking/Threatening An Illegal Action,Threatened Arrest/Jail If Do Not Pay,TX,77433,2015-03-18,2015-03-18,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,11,medium,2380,debt,south
1289772,Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Impersonated An Attorney Or Official,ND,58237,2015-03-18,2015-03-18,Niagara Portfolio Solutions Llc,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,28,medium,30,debt,midwest
1288903,Bank Account Or Service,Other Bank Product/Service,Deposits And Withdrawals,Not Specified,RI,2893,2015-03-18,2015-03-18,Santander Bank Us,In progress,Yes,No,2015,3,2,1,0,0,0,1,82,large,89,banking,northeast
1289633,Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CO,80301,2015-03-18,2015-03-18,"Fair Collections & Outsourcing, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,20,medium,483,debt,west
1289273,Payday Loan,Not Specified,Can'T Contact Lender,Not Specified,TX,78205,2015-03-18,2015-03-18,Ace Cash Express Inc.,In progress,Yes,No,2015,3,2,1,0,0,0,1,53,large,2380,loan,south
1289900,Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,UT,84405,2015-03-18,2015-03-18,Account Liquidation Services Inc.,Closed with non-monetary relief,Yes,Yes,2015,3,2,1,0,0,0,1,1,small,176,debt,west
1290486,Debt Collection,Not Specified,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,AL,36756,2015-03-18,2015-03-19,"Expert Global Solutions, Inc.",In progress,Yes,No,2015,3,2,1,0,0,1,0,28,medium,358,debt,south
1289049,Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Attempted To Collect Wrong Amount,PA,19140,2015-03-18,2015-03-18,"Mercantile Adjustment Bureau, Llc",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,16,medium,1055,debt,northeast
1288962,Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,TX,77099,2015-03-18,2015-03-18,"Amsher Collection Services, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,14,medium,2380,debt,south
1289394,Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Used Obscene/Profane/Abusive Language,CA,92069,2015-03-18,2015-03-18,"Recovery One, Llc",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,4,small,3859,debt,west
1288148,Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Right To Dispute Notice Not Received,NY,10470,2015-03-18,2015-03-18,"Cmre Financial Services, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,28,medium,1846,debt,northeast
1288098,Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NC,28110,2015-03-18,2015-03-18,Flagstar Bank,In progress,Yes,No,2015,3,2,1,0,0,0,1,74,large,764,mortgage,south
1288375,Debt Collection,"Other (Phone, Health Club, Etc.)",Improper Contact Or Sharing Of Info,Contacted Employer After Asked Not To,GA,30058,2015-03-18,2015-03-18,Rent Recovery Solutions,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,12,medium,1146,debt,south
1289844,Debt Collection,Not Specified,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,IL,60411,2015-03-18,2015-03-18,"Municipal Collections Services, Inc.",Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,6,small,1003,debt,midwest
1290474,Debt Collection,Payday Loan,Communication Tactics,Threatened To Take Legal Action,CA,92592,2015-03-18,2015-03-19,Ace Cash Express Inc.,Closed with explanation,Yes,No,2015,3,2,1,0,0,1,0,53,large,3859,debt,west
1286761,Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,WI,53183,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,351,loan,midwest
