Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,year_received,month_received,dayofweek_received,quarter_received,is_weekend,is_holiday_season,processing_days,same_day_processing,company_complaint_count,company_size,state_complaint_count,product_category,region
Debt Collection,Not Specified,Communication Tactics,Frequent Or Repeated Calls,TX,76119,"Premium Asset Services, Llc",In progress,Yes,No,2015,3,3,1,0,0,0,1,41,medium,2380,debt,south
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,TX,77479,Accounts Receivable Consultants Inc.,Closed with explanation,Yes,No,2015,3,3,1,0,0,0,1,1,small,2380,debt,south
Mortgage,Fha Mortgage,"Application, Originator, Mortgage Broker",Not Specified,MA,2127,Rbs Citizens,Closed with explanation,Yes,Yes,2015,3,3,1,0,0,0,1,107,large,512,mortgage,northeast
Credit Card,Not Specified,Other,Not Specified,CA,92592,Navy Fcu,In progress,Yes,No,2015,3,3,1,0,0,0,1,62,large,3859,credit,west
Debt Collection,Non-Federal Student Loan,Cont'D Attempts Collect Debt Not Owed,Debt Resulted From Identity Theft,Unknown,43068,Transworld Systems Inc.,In progress,Yes,No,2015,3,3,1,0,0,0,1,215,enterprise,421,debt,unknown
Debt Collection,Payday Loan,Communication Tactics,Called After Sent Written Cease Of Comm,OH,43068,Ace Cash Express Inc.,In progress,Yes,No,2015,3,3,1,0,0,0,1,53,large,939,debt,midwest
Consumer Loan,Installment Loan,Managing The Loan Or Lease,Not Specified,OH,44241,"Cashcall, Inc.",Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,69,large,939,loan,midwest
Debt Collection,Payday Loan,Communication Tactics,Called After Sent Written Cease Of Comm,CA,95124,Ace Cash Express Inc.,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,53,large,3859,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,NJ,7067,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,No,2015,3,2,1,0,0,0,1,50,medium,1113,debt,northeast
Debt Collection,Payday Loan,Taking/Threatening An Illegal Action,Threatened Arrest/Jail If Do Not Pay,TX,77433,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,11,medium,2380,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Impersonated An Attorney Or Official,ND,58237,Niagara Portfolio Solutions Llc,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,28,medium,30,debt,midwest
Bank Account Or Service,Other Bank Product/Service,Deposits And Withdrawals,Not Specified,RI,2893,Santander Bank Us,In progress,Yes,No,2015,3,2,1,0,0,0,1,82,large,89,banking,northeast
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CO,80301,"Fair Collections & Outsourcing, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,20,medium,483,debt,west
Payday Loan,Not Specified,Can'T Contact Lender,Not Specified,TX,78205,Ace Cash Express Inc.,In progress,Yes,No,2015,3,2,1,0,0,0,1,53,large,2380,loan,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,UT,84405,Account Liquidation Services Inc.,Closed with non-monetary relief,Yes,Yes,2015,3,2,1,0,0,0,1,1,small,176,debt,west
Debt Collection,Not Specified,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,AL,36756,"Expert Global Solutions, Inc.",In progress,Yes,No,2015,3,2,1,0,0,1,0,28,medium,358,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",False Statements Or Representation,Attempted To Collect Wrong Amount,PA,19140,"Mercantile Adjustment Bureau, Llc",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,16,medium,1055,debt,northeast
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,TX,77099,"Amsher Collection Services, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,14,medium,2380,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Used Obscene/Profane/Abusive Language,CA,92069,"Recovery One, Llc",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,4,small,3859,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Right To Dispute Notice Not Received,NY,10470,"Cmre Financial Services, Inc.",Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,28,medium,1846,debt,northeast
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NC,28110,Flagstar Bank,In progress,Yes,No,2015,3,2,1,0,0,0,1,74,large,764,mortgage,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Improper Contact Or Sharing Of Info,Contacted Employer After Asked Not To,GA,30058,Rent Recovery Solutions,Closed with explanation,Yes,No,2015,3,2,1,0,0,0,1,12,medium,1146,debt,south
Debt Collection,Not Specified,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,IL,60411,"Municipal Collections Services, Inc.",Closed with explanation,Yes,Yes,2015,3,2,1,0,0,0,1,6,small,1003,debt,midwest
Debt Collection,Payday Loan,Communication Tactics,Threatened To Take Legal Action,CA,92592,Ace Cash Express Inc.,Closed with explanation,Yes,No,2015,3,2,1,0,0,1,0,53,large,3859,debt,west
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,WI,53183,Ally Financial Inc.,In progress,Yes,No,2015,3,1,1,0,0,0,1,165,large,351,loan,midwest
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,IL,60628,Jpmorgan Chase,Closed with explanation,Yes,No,2015,3,1,1,0,0,1,0,1272,enterprise,1003,banking,midwest
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,MI,48091,Transunion,Closed with explanation,Yes,No,2015,3,1,1,0,0,0,1,1525,enterprise,694,credit,midwest
Debt Collection,Credit Card,Cont'D Attempts Collect Debt Not Owed,Debt Was Discharged In Bankruptcy,FL,33990,"Expert Global Solutions, Inc.",In progress,Yes,No,2015,3,1,1,0,0,0,1,28,medium,2592,debt,south
